State,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
Punjab,817.0,996.0,1122.0,1434.0,1726.0,1963.0,1829.0,2623.0,2666.0,2887.0,3400.0,5012.0,4208.0,5221.0,7505.0,7004.0,7547.0,9472.0,10963.0,11980.0,14111.0,15692.0,17337.0,20335.0,20994.0,20453.0,26297.0,26519.0,28785.710000000006,31307.95,37060.03,36810.32,44507.28,47656.37,56430.95,61813.86,
Rajasthan,1120.0,1360.0,1419.0,1585.0,1838.0,2116.0,2557.0,3384.0,3415.0,3565.0,4728.0,5810.0,6347.0,7427.0,8421.0,10907.0,10964.0,12685.0,14314.0,16256.0,17494.0,18995.0,21542.0,25869.0,28907.0,27220.0,31856.0,37757.0,42968.24,48749.81,53703.32,65372.08,81263.91,94101.08,125811.63,137713.39,
Sikkim,43.0,45.0,47.0,67.0,76.0,104.0,115.0,139.0,164.0,167.0,183.0,228.0,250.0,263.0,601.0,993.0,1241.0,1394.0,1621.0,1620.0,947.0,1909.0,2132.0,1477.0,2161.0,2146.0,2253.0,2820.0,2981.91,3509.84,3437.58,3943.7300000000014,3930.92,4469.04,6716.290000000001,5525.730000000001,
Tamil Nadu,1686.0,2006.0,2292.0,2752.0,2950.0,3309.0,3612.0,4196.0,4617.0,5662.0,6621.0,9600.0,9748.0,10062.0,11432.0,12532.0,15402.0,17333.0,19880.0,22627.0,24437.0,24818.0,30156.0,33765.0,41780.0,38744.0,51147.0,55748.0,67723.09,72730.33,90881.74,109465.27,121395.9,134192.38,161424.09,182338.58,
Telangana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99957.97,115059.19,
Tripura,143.0,124.0,145.0,188.0,204.0,259.0,300.0,393.0,492.0,525.0,613.0,677.0,657.0,785.0,880.0,990.0,1179.0,1350.0,1531.0,1773.0,2135.0,2466.0,2537.0,2764.0,2984.0,3301.0,3301.0,3835.0,4511.04,5757.51,5624.33,6437.75,7027.49,7825.38,12399.45,14948.919999999998,
Uttar Pradesh,2668.0,2942.0,3490.0,4116.0,5186.0,5331.0,6225.0,6901.0,8079.0,9637.0,12240.0,13246.0,16135.0,16275.0,21062.0,20787.0,23017.0,26626.0,31462.0,34615.0,36681.0,38104.0,42086.0,69441.0,59124.0,59839.0,74983.0,87304.0,104398.11,121115.3,134585.83000000002,153712.31,173720.21,200720.05,262302.82,292687.32,
Uttarakhand,,,,,,,,,,,,,,,,,,,,,1110.0,3298.0,4848.0,6206.0,6366.0,7664.0,8516.0,9975.0,10888.79,13297.14,14009.97,16232.36,19216.410000000003,21523.23,31455.8,31893.64,
West Bengal,1552.0,1838.0,2072.0,2181.0,2738.0,2974.0,3508.0,3941.0,4279.0,4883.0,6028.0,6191.0,6646.0,7973.0,9283.0,10509.0,13032.0,13557.0,17153.0,22677.0,26741.0,28079.0,27716.0,38421.0,33494.0,40587.0,41203.0,46644.0,60933.12,68134.03,72962.17,83830.87999999999,95357.5,108513.38999999998,129647.46,138374.0,
All States,22664.0,25169.0,28742.0,33541.0,39857.0,44867.0,51786.0,59872.0,67078.0,76782.0,91088.0,107929.0,119335.0,133849.0,159147.0,174632.0,199254.0,223924.0,261419.0,307977.0,339835.0,368680.0,410249.0,514302.0,553428.0,561682.0,657280.0,752324.0,882332.72,1015329.73,1158729.75,1351612.27,1534254.74,1706144.53,2268425.45,2444954.61,
Delhi,,,,,,,,,,,,,,800.0,2407.0,2952.0,3515.0,4211.0,4943.0,5912.0,7362.0,8631.0,10214.0,11720.0,12875.0,11142.0,12966.0,18160.0,20361.3,24925.92,25524.32,26402.43,29858.81,34051.6,34790.0,41129.0,
Puducherry,,,,,,,,,,,,,,,,,,,,,,,,,,2173.0,2387.0,2588.0,2956.6,3585.83,4060.98,3756.01,3556.17,5050.33,5917.99,6431.0,
