State,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
Nagaland,73.0,31.0,37.0,50.0,39.0,69.0,81.0,107.0,114.0,122.0,130.0,159.0,330.0,252.0,184.0,195.0,231.0,226.0,441.0,315.0,415.0,568.0,411.0,571.0,591.0,748.0,863.0,991.0,1059.93,1267.6799999999996,1388.22,1572.81,1592.75,1476.81,1635.84,1920.58,
Odisha,336.0,240.0,367.0,214.0,384.0,410.0,482.0,582.0,602.0,629.0,861.0,1005.0,866.0,973.0,947.0,865.0,1193.0,1318.0,1823.0,1661.0,2219.0,2187.0,3252.0,4704.0,3513.0,2143.0,3574.0,5121.0,5482.74,5249.05,6683.37,7444.87,9018.07,10513.17,15854.91,18648.78,
Punjab,267.0,376.0,438.0,614.0,785.0,800.0,627.0,990.0,798.0,866.0,880.0,816.0,785.0,1177.0,1463.0,1369.0,622.0,1636.0,2578.0,1784.0,2398.0,2982.0,2511.0,4633.0,3796.0,2244.0,7753.0,3458.0,4216.72,3900.01,4162.85,3765.0,5049.34,6015.7,7448.210000000001,9190.66,
Rajasthan,432.0,537.0,464.0,487.0,535.0,609.0,691.0,845.0,845.0,868.0,1248.0,1729.0,1350.0,1529.0,1675.0,2576.0,2539.0,3699.0,2739.0,2827.0,2459.0,3046.0,4526.0,7021.0,9001.0,5721.0,6902.0,8630.0,8672.64,8617.61,8829.97,11718.77,17802.120000000006,18591.49,24923.69,26908.54,
Sikkim,13.0,13.0,11.0,18.0,18.0,26.0,34.0,40.0,51.0,52.0,55.0,73.0,70.0,74.0,75.0,111.0,122.0,136.0,126.0,110.0,184.0,245.0,249.0,296.0,438.0,378.0,366.0,471.0,688.3,771.79,530.05,713.5899999999998,918.57,1011.08,1820.85,1267.22,
Tamil Nadu,534.0,646.0,716.0,841.0,740.0,859.0,836.0,821.0,854.0,931.0,980.0,920.0,1206.0,1304.0,1797.0,1621.0,2337.0,2383.0,2182.0,1899.0,2685.0,3261.0,4469.0,8494.0,12625.0,6736.0,12882.0,12773.0,14132.83,13354.98,17965.44,25627.23,24328.46,24367.71,24698.71,35041.23,
Telangana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,20148.21,21458.98,
Tripura,56.0,33.0,36.0,47.0,57.0,69.0,68.0,98.0,112.0,105.0,116.0,129.0,107.0,142.0,175.0,203.0,272.0,290.0,355.0,312.0,401.0,653.0,576.0,702.0,802.0,910.0,819.0,1041.0,1381.59,1543.72,1264.99,1628.67,1814.61,1876.42,4096.38,5823.37,
Uttar Pradesh,952.0,1036.0,1127.0,1355.0,1894.0,1629.0,1876.0,1821.0,1822.0,1983.0,2702.0,2847.0,3445.0,2995.0,5666.0,3231.0,3809.0,4431.0,5388.0,5868.0,5649.0,6324.0,9148.0,19220.0,14514.0,13222.0,19284.0,22081.0,28429.22,31741.7,26910.22,29827.140000000007,32996.57,42573.18,70712.59,76931.14,
Uttarakhand,,,,,,,,,,,,,,,,,,,,,197.0,465.0,1173.0,1845.0,1330.0,2053.0,2039.0,2720.0,2493.43,2639.66,2388.890000000001,3257.03,5256.190000000001,5306.82,7103.32,6154.31,
West Bengal,437.0,527.0,451.0,441.0,588.0,714.0,810.0,913.0,804.0,912.0,900.0,867.0,983.0,1067.0,1652.0,1883.0,2670.0,2235.0,2910.0,3179.0,4637.0,4684.0,4555.0,12664.0,5348.0,9471.0,7042.0,8330.0,9319.79,9634.16,8423.98,10504.51,13246.62,16716.120000000006,22819.48,25273.78,
All States,7856.0,8094.0,8505.0,9737.0,11508.0,12097.0,13729.0,14784.0,14850.0,16565.0,19312.0,21743.0,23130.0,24980.0,32138.0,31506.0,32335.0,39612.0,44169.0,50501.0,52010.0,58861.0,79396.0,141709.0,150758.0,123648.0,151582.0,171520.0,200347.5,216176.06,226433.2,277041.39,302552.79,326394.31,444263.64,486780.83,
Delhi,,,,,,,,,,,,,,292.0,976.0,1074.0,1484.0,1889.0,2103.0,2389.0,3666.0,3587.0,5615.0,6633.0,7047.0,4626.0,5211.0,8389.0,8598.75,11025.04,11142.59,8437.57,9199.45,11685.08,8752.22,10726.91,
Puducherry,,,,,,,,,,,,,,,,,,,,,,,,,,379.0,460.0,387.0,386.13,502.35,520.8100000000002,533.78,504.98,567.5899999999998,862.7700000000002,832.6700000000002,
