Capital_Receipts,Aggregate_Receipts,Social_Sector_Expenditure,Interest_Payments,Own_Tax_Revenues,Fiscal_Deficits,Outstanding_Liabilities,Aggregate_Expenditure,Revenue_Receipts,Revenue_Expenditure,Revenue_Deficits,Capital_Expenditure,Nominal_GSDP_Series
-46.0,67.0,47.0,5.2,4.0,17.4,5.31,137.0,113.0,92.0,-20.3,44.0,285.0
15.0,112.0,40.0,2.7,7.0,15.1,3.01,117.0,97.0,85.0,-11.8,32.0,256.0
14.0,148.0,48.0,5.5,7.0,29.5,5.2,166.0,134.0,128.0,-5.5,37.0,180.0
337.0,1139.0,470.0,79.6,174.0,212.2,67.92,1191.0,802.0,825.0,23.0,367.0,4448.0
250.0,1036.0,292.0,83.5,491.0,182.8,95.24,1122.0,786.0,684.0,-102.5,438.0,6602.0
382.0,1391.0,498.0,114.5,390.0,274.9,86.54,1419.0,1009.0,955.0,-54.5,464.0,6246.0
574.0,2252.0,798.0,101.4,1012.0,326.1,102.06,2292.0,1678.0,1576.0,-101.9,716.0,10025.0
20.0,144.0,47.0,4.8,6.0,17.1,6.31,145.0,124.0,109.0,-15.2,36.0,386.0
850.0,3406.0,1015.0,215.1,929.0,581.7,263.66,3490.0,2556.0,2364.0,-192.4,1127.0,19724.0
614.0,1993.0,843.0,169.8,638.0,497.8,112.81,2072.0,1379.0,1622.0,242.4,451.0,13049.0
546.0,2499.0,1073.0,123.0,965.0,493.0,129.4,2588.0,1953.0,2042.0,88.6,546.0,12564.0
363.0,914.0,339.0,60.8,136.0,327.2,46.75,942.0,551.0,688.0,137.2,254.0,4347.0
692.0,2196.0,677.0,149.6,442.0,328.0,147.52,2144.0,1504.0,1432.0,-72.1,711.0,10945.0
614.0,2179.0,669.0,117.3,879.0,397.6,114.67,2178.0,1565.0,1426.0,-139.0,752.0,12681.0
300.0,999.0,242.0,59.2,366.0,133.7,44.24,960.0,699.0,623.0,-75.9,338.0,4890.0
57.0,374.0,139.0,18.2,54.0,57.9,19.96,385.0,317.0,284.0,-32.7,101.0,1127.0
241.0,617.0,179.0,56.6,71.0,198.3,45.1,620.0,376.0,422.0,46.5,198.0,1782.0
479.0,1969.0,525.0,98.0,760.0,287.7,88.15,2002.0,1490.0,1417.0,-72.9,586.0,9610.0
317.0,1251.0,557.0,91.5,487.0,299.3,75.95,1322.0,934.0,992.0,58.2,329.0,6272.0
518.0,2318.0,677.0,86.2,643.0,366.4,107.92,2324.0,1800.0,1624.0,-176.3,700.0,11471.0
953.0,4205.0,1282.0,197.8,1823.0,739.7,187.87,4244.0,3252.0,3181.0,-70.8,1063.0,23457.0
