Capital_Receipts,Aggregate_Receipts,Social_Sector_Expenditure,Interest_Payments,Own_Tax_Revenues,Fiscal_Deficits,Outstanding_Liabilities,Aggregate_Expenditure,Revenue_Receipts,Revenue_Expenditure,Revenue_Deficits,Capital_Expenditure,Nominal_GSDP_Series
1307.0,4801.0,2092.0,529.9,1938.0,1055.0,440.42,4883.0,3494.0,3971.0,477.0,912.0,30623.0
1261.0,6608.0,2741.0,590.0,2650.0,967.1,418.09,6581.0,5347.0,5505.0,157.6,1076.0,33336.0
61.0,419.0,128.0,20.0,0.0,25.8,7.39,398.0,358.0,258.0,-100.1,140.0,508.0
972.0,2749.0,932.0,260.0,420.0,567.5,102.27,2689.0,1777.0,1920.0,143.8,769.0,10621.0
1714.0,6036.0,2381.0,750.0,1140.0,1594.6,299.42,6217.0,4322.0,4888.0,566.1,1329.0,26429.0
148.0,431.0,162.0,30.0,90.0,96.1,28.22,395.0,283.0,275.0,-7.2,120.0,1257.0
2131.0,5510.0,1993.0,530.0,2400.0,1798.2,427.81,5470.0,3379.0,4082.0,702.7,1388.0,27996.0
540.0,2453.0,776.0,240.0,1070.0,385.7,146.5,2397.0,1913.0,1933.0,19.7,464.0,13636.0
363.0,1170.0,444.0,110.0,160.0,278.6,87.05,1118.0,807.0,902.0,94.8,217.0,2815.0
588.0,1746.0,600.0,220.00000000000003,160.0,661.2,91.01,2021.0,1158.0,1249.0,91.2,772.0,3614.0
1349.0,5241.0,1842.0,440.00000000000006,2330.0,558.5,253.01,4979.0,3892.0,3971.0,78.9,1008.0,23300.0
949.0,3352.0,1477.0,340.0,1340.0,798.5,262.59,3376.0,2403.0,2825.0,422.0,552.0,14098.0
1284.0,5829.0,2439.0,510.0,1750.0,1019.3,221.27,5899.0,4545.0,4746.0,200.7,1153.0,30472.0
2300.0,10999.0,3792.0,880.0000000000001,5120.0,1610.9,676.01,10772.0,8699.0,8754.0,54.7,2019.0,64433.0
85.0,481.0,151.0,30.0,20.0,39.6,18.7,453.0,396.0,307.0,-88.5,146.0,821.0
55.0,408.0,160.0,20.0,40.0,41.2,13.88,406.0,353.0,311.0,-42.2,95.0,890.0
50.0,512.0,153.0,30.0,0.0,-94.4,13.75,502.0,462.0,305.0,-157.1,197.0,341.0
102.0,519.0,182.0,40.0,20.0,101.9,16.04,552.0,417.0,422.0,5.2,130.0,655.0
1008.0,3179.0,1113.0,370.0,670.0,616.2,242.2,3051.0,2171.0,2191.0,19.6,861.0,10904.0
1463.0,3439.0,957.0,330.0,1290.0,1242.2,307.63,3400.0,1976.0,2520.0,544.2,880.0,18883.0
996.0,4644.0,1866.0,500.0,1220.0,544.8,355.41,4728.0,3648.0,3480.0,-168.0,1248.0,20710.0
33.0,193.0,61.0,10.0,10.0,20.2,8.52,183.0,160.0,128.0,-31.4,55.0,234.0
1466.0,6554.0,2985.0,460.0,3120.0,1126.3,345.41,6621.0,5088.0,5641.0,553.4,980.0,31339.0
128.0,623.0,264.0,40.0,30.0,85.6,23.84,613.0,495.0,497.0,1.7,116.0,1031.0
3818.0,12128.0,4711.0,1280.0,3160.0,3067.6,830.98,12240.0,8310.0,9539.0,1228.3,2702.0,55506.0
1827.0,5936.0,2824.0,630.0,2130.0,1633.7,549.29,6028.0,4109.0,5128.0,1018.9,900.0,34797.0
1567.0,7849.0,3121.0,700.0,3060.0,1125.3,486.37,7758.0,6282.0,6452.0,169.6,1306.0,40659.0
4.0,450.0,137.0,20.0,0.0,-20.3,7.9,443.0,446.0,288.0,-158.2,156.0,629.0
313.0,2731.0,1113.0,90.0,510.0,254.7,119.88,2763.0,2418.0,2148.0,-269.7,615.0,11848.0
1903.0,6757.0,3073.0,1000.0,1310.0,1617.0,341.35,6805.0,4854.0,5739.0,885.0,1066.0,29519.0
77.0,399.0,181.0,60.0,110.0,125.3,37.46,466.0,322.0,332.0,9.5,135.0,1551.0
2219.0,6882.0,2344.0,720.0,2890.0,1875.7,479.19,6908.0,4663.0,5238.0,575.6,1670.0,30632.0
500.0,2742.0,781.0,320.0,1300.0,374.7,177.26,2727.0,2242.0,2274.0,32.2,453.0,16339.0
1283.0,2275.0,495.0,150.0,190.0,223.8,100.55,2341.0,992.0,983.0,-9.9,1358.0,3317.0
239.0,1864.0,732.0,390.0,160.0,448.7,96.24,2286.0,1625.0,1521.0,-104.0,764.0,4110.0
1504.0,6279.0,2299.0,520.0,2900.0,917.8,313.37,6248.0,4775.0,4954.0,178.7,1294.0,30092.0
1081.0,3933.0,1594.0,480.0,1670.0,803.4,295.36,4005.0,2852.0,3216.0,364.3,789.0,17530.0
1061.0,6438.0,2664.0,610.0,2120.0,984.0,260.43,6637.0,5377.0,5421.0,43.8,1217.0,32609.0
3201.0,12974.0,4601.0,1160.0,5950.0,1656.9,785.41,12052.0,9773.0,10049.0,276.1,2003.0,73406.0
56.0,507.0,185.0,30.0,10.0,69.1,18.7,533.0,451.0,378.0,-73.3,156.0,986.0
57.0,461.0,189.0,20.0,40.0,72.2,15.28,492.0,404.0,368.0,-35.6,124.0,1037.0
-2.0,398.0,173.0,10.0,0.0,4.8,17.13,414.0,400.0,321.0,-79.0,93.0,465.0
91.0,586.0,179.0,50.0,20.0,95.7,18.84,648.0,495.0,489.0,-6.3,159.0,786.0
1130.0,3577.0,1310.0,480.0,670.0,913.2,281.61,3640.0,2447.0,2635.0,187.7,1005.0,14012.0
1169.0,4885.0,1099.0,360.0,1540.0,1150.5,357.3,5012.0,3716.0,4197.0,480.9,816.0,22842.0
1935.0,6064.0,2036.0,620.0,1550.0,792.4,416.34,5810.0,4129.0,4080.0,-48.5,1729.0,23012.0
24.0,206.0,73.0,20.0,10.0,41.1,9.29,228.0,182.0,155.0,-27.4,73.0,259.0
2604.0,9380.0,3433.0,560.0,3730.0,1299.9,390.69,9600.0,6776.0,8680.0,1903.9,920.0,36957.0
71.0,634.0,286.0,50.0,30.0,93.9,28.17,677.0,563.0,548.0,-15.6,129.0,1165.0
3666.0,13341.0,4443.0,1710.0000000000002,3500.0,2836.6,958.22,13246.0,9675.0,10399.0,724.6,2847.0,64677.0
1487.0,6165.0,2716.0,830.0000000000001,2450.0,1143.7,663.96,6191.0,4678.0,5324.0,646.1,867.0,40380.0
1937.0,9003.0,3662.0,830.0000000000001,3390.0,1569.3,560.3,8984.0,7066.0,7190.0,123.8,1793.0,44395.0
-18.0,485.0,172.0,20.0,0.0,-9.3,9.66,503.0,503.0,340.0,-163.2,163.0,741.0
560.0,3173.0,1138.0,410.0,520.0,208.1,130.99,3136.0,2613.0,2451.0,-162.3,685.0,13048.0
1738.0,7702.0,3143.0,1240.0,1560.0,1330.9,382.54,7743.0,5964.0,6570.0,606.0,1174.0,31914.0
72.0,461.0,192.0,60.0,140.0,90.3,35.03,499.0,389.0,380.0,-8.5,119.0,1872.0
1892.0,7803.0,2456.0,930.0,3460.0,1173.6,551.75,7987.0,5911.0,6211.0,299.8,1776.0,40316.0
537.0,2915.0,955.0,340.0,1450.0,444.1,199.48,2956.0,2378.0,2379.0,1.7,577.0,17343.0
285.0,1338.0,581.0,180.0,220.00000000000003,311.5,122.28,1447.0,1053.0,1146.0,93.1,301.0,3824.0
232.0,2281.0,887.0,360.0,210.0,203.5,105.28,2321.0,2049.0,1782.0,-267.0,539.0,4558.0
1305.0,6727.0,2557.0,590.0,3100.0,1386.0,360.2,7100.0,5422.0,5592.0,170.0,1508.0,33036.0
1134.0,4453.0,1791.0,540.0,1890.0,732.0,343.12,4363.0,3319.0,3656.0,337.4,707.0,19937.0
1340.0,7783.0,3020.0,740.0,2330.0,876.3,298.82,7663.0,6443.0,6157.0,-285.3,1505.0,36583.0
2481.0,13299.0,5561.0,1340.0,6559.999999999999,2585.6,899.52,14014.0,10818.0,11547.0,728.5,2467.0,90921.0
338.0,818.0,196.0,40.0,20.0,18.2,18.9,824.0,480.0,398.0,-82.2,426.0,1093.0
64.0,493.0,198.0,30.0,40.0,93.1,18.2,543.0,429.0,410.0,-18.2,133.0,1152.0
62.0,483.0,200.0,30.0,10.0,59.5,19.67,490.0,421.0,374.0,-47.2,116.0,533.0
214.0,728.0,224.0,60.0,20.0,138.2,23.85,857.0,514.0,527.0,13.0,330.0,918.0
990.0,3903.0,1492.0,540.0,760.0,740.1,308.69,3915.0,2913.0,3049.0,135.7,866.0,15138.0
4309.0,7096.0,1058.0,410.0,1760.0000000000002,1252.0,401.25,4208.0,2787.0,3423.0,635.6,785.0,26275.0
1314.0,6202.0,2393.0,740.0,1730.0,1158.7,475.34,6347.0,4888.0,4997.0,109.5,1350.0,27047.0
51.0,260.0,81.0,20.0,10.0,34.1,9.89,250.0,209.0,180.0,-29.5,70.0,267.0
2842.0,9858.0,3929.0,690.0,4160.0,1749.1,444.71,9748.0,7016.0,8543.0,1526.2,1206.0,43010.0
118.0,722.0,261.0,60.0,30.0,23.0,32.78,657.0,604.0,550.0,-53.9,107.0,1231.0
4678.0,16354.0,5573.0,2040.0,3890.0,3710.9,1051.26,16135.0,11676.0,12691.0,1014.5,3445.0,70704.0
1597.0,6824.0,2747.0,970.0,2610.0,1012.5,783.25,6646.0,5227.0,5664.0,436.6,983.0,43290.0
2553.0,10804.0,3919.0,1030.0,3830.0,1833.2,652.51,10541.0,8251.0,8018.0,-232.3,2523.0,57867.0
-37.0,509.0,198.0,30.0,0.0,16.1,17.36,575.0,546.0,399.0,-147.5,176.0,893.0
164.0,3482.0,1397.0,490.00000000000006,610.0,-17.9,156.88,3620.0,3318.0,2901.0,-416.3,719.0,15143.0
1752.0,8381.0,3434.0,1350.0,1750.0,1339.3,399.99,8433.0,6629.0,7319.0,689.5,1115.0,22812.0
86.0,550.0,216.0,70.0,190.0,59.6,38.85,558.0,464.0,431.0,-33.2,128.0,2397.0
1606.0,8636.0,2844.0,1050.0,3940.0,526.4,623.07,8408.0,7030.0,6934.0,-96.2,1474.0,49194.0
682.0,4164.0,1093.0,420.0,1590.0,479.9,224.5,4109.0,3482.0,3401.0,-80.5,708.0,22131.0
372.0,1837.0,621.0,210.0,260.0,152.1,143.79,1691.0,1465.0,1352.0,-113.6,339.0,4783.0
243.0,2470.0,901.0,280.0,230.0,87.7,147.28,2593.0,2227.0,1768.0,-459.0,825.0,6343.0
1896.0,8221.0,3063.0,720.0,3810.0,1254.0,399.59,8089.0,6325.0,6208.0,-116.4,1881.0,26326.0
1316.0,5238.0,2061.0,690.0,2340.0,935.2,391.51,5138.0,3922.0,4293.0,371.3,845.0,37971.0
1733.0,8803.0,3508.0,869.9999999999999,2680.0,982.5,379.67,8878.0,7070.0,7518.0,448.1,1360.0,14171.0
2937.0,15924.0,6204.0,1510.0,7700.0,2265.3,1068.38,15983.0,12987.0,13109.0,121.9,2874.0,113320.0
162.0,741.0,210.0,50.0,20.0,-20.4,24.44,637.0,579.0,438.0,-140.9,200.0,1308.0
160.0,661.0,238.0,30.0,50.0,87.6,21.23,682.0,501.0,483.0,-17.9,199.0,1511.0
17.0,520.0,212.0,20.0,10.0,7.6,26.06,522.0,503.0,419.0,-83.9,103.0,711.0
305.0,937.0,269.0,60.0,20.0,174.2,23.89,932.0,632.0,680.0,47.2,252.0,1375.0
1315.0,4523.0,1747.0,680.0,860.0,901.5,338.5,4456.0,3208.0,3482.0,274.4,973.0,18537.0
1696.0,4973.0,1335.0,1040.0,2150.0,1493.4,428.19,5221.0,3277.0,4044.0,766.9,1177.0,30248.0
1764.0,7361.0,2783.0,890.0,1950.0,1470.0,531.09,7427.0,5597.0,5898.0,300.7,1529.0,32970.0
27.0,252.0,90.0,20.0,10.0,30.7,10.1,263.0,225.0,189.0,-36.0,74.0,403.0
2126.0,10192.0,4251.0,960.0,4800.0,1357.6,517.59,10062.0,8066.0,8758.0,691.9,1304.0,57549.0
132.0,775.0,324.0,70.0,40.0,111.0,40.57,785.0,643.0,643.0,0.3,142.0,1777.0
3542.0,15673.0,5212.0,2110.0,4130.0,3165.8,1240.63,16275.0,12131.0,13280.0,1148.7,2995.0,80451.0
1940.0,7861.0,3323.0,1170.0,2910.0,1671.9,894.72,7973.0,5921.0,6906.0,984.3,1067.0,53424.0
567.0,1134.0,386.0,0.0,550.0,231.7,141.49,800.0,567.0,508.0,-59.0,292.0,20992.0
3381.0,12167.0,4265.0,1260.0,4230.0,2348.5,754.18,12459.0,8786.0,9514.0,727.8,2945.0,68923.0
61.0,667.0,217.0,30.0,10.0,73.2,20.69,691.0,606.0,439.0,-166.6,252.0,970.0
2356.0,5317.0,1538.0,590.0,630.0,710.6,170.43,3998.0,2961.0,3271.0,309.3,727.0,17551.0
1809.0,8607.0,3524.0,1560.0,1840.0,1342.1,431.83,8555.0,6798.0,7731.0,933.4,823.0,25945.0
104.0,638.0,223.0,70.0,230.0,44.5,44.17,601.0,534.0,477.0,-56.2,124.0,2838.0
1915.0,9721.0,3273.0,1190.0,4740.0,1292.4,713.34,9498.0,7806.0,7544.0,-262.2,1954.0,63516.0
1128.0,7010.0,1304.0,490.00000000000006,1890.0,534.6,249.0,6912.0,5882.0,6273.0,390.5,639.0,26245.0
387.0,1693.0,731.0,220.00000000000003,300.0,620.4,164.83,2009.0,1306.0,1614.0,307.9,394.0,5825.0
312.0,3339.0,1047.0,580.0,240.0,-23.4,158.77,3339.0,3027.0,2324.0,-702.5,1015.0,6977.0
2067.0,9035.0,3449.0,869.9999999999999,4290.0,1512.9,443.45,8859.0,6968.0,7265.0,296.2,1595.0,31877.0
1692.0,6358.0,2387.0,819.9999999999999,2800.0,1108.7,436.95,5959.0,4666.0,5066.0,399.9,892.0,42339.0
1912.0,9530.0,3854.0,1090.0,2870.0,1416.9,445.86,9315.0,7618.0,7809.0,190.5,1506.0,15562.0
5543.0,20633.0,6723.0,1760.0000000000002,9450.0,2861.4,1245.54,20026.0,15090.0,14812.0,-277.3,5214.0,130073.0
54.0,646.0,241.0,50.0,20.0,62.1,32.39,675.0,592.0,508.0,-83.7,167.0,1405.0
67.0,597.0,216.0,40.0,60.0,35.3,24.1,587.0,530.0,457.0,-73.3,130.0,1665.0
59.0,597.0,239.0,30.0,10.0,38.4,29.22,592.0,538.0,464.0,-74.9,129.0,739.0
169.0,800.0,299.0,80.0,20.0,238.8,26.38,906.0,631.0,722.0,90.8,184.0,1596.0
1512.0,5088.0,1864.0,790.0,920.0,1158.9,369.82,4982.0,3576.0,4036.0,459.6,947.0,22224.0
2059.0,7360.0,1565.0,1240.0,2600.0,1785.2,470.71,7505.0,5301.0,6043.0,741.8,1463.0,34218.0
2160.0,8482.0,3291.0,1040.0,2310.0,1762.7,599.68,8421.0,6322.0,6747.0,424.8,1675.0,41487.0
59.0,605.0,101.0,30.0,10.0,45.7,11.5,601.0,546.0,526.0,-19.8,75.0,440.0
2702.0,11921.0,4550.0,1090.0,5830.0,1496.4,559.68,11432.0,9219.0,9635.0,415.6,1797.0,68666.0
148.0,889.0,383.0,80.0,40.0,110.0,48.53,880.0,741.0,706.0,-35.6,175.0,1881.0
8796.0,22189.0,6031.0,3090.0,4880.0,4766.5,1362.73,21062.0,13393.0,15396.0,2002.7,5666.0,94019.0
2739.0,9603.0,3827.0,1330.0,3730.0,1965.3,973.42,9283.0,6864.0,7631.0,767.1,1652.0,62032.0
1980.0,3960.0,1155.0,0.0,1789.9999999999998,388.9,158.36,2407.0,1980.0,1431.0,-549.6,976.0,25847.0
4457.0,14332.0,5507.0,1530.0,4120.0,2416.8,832.82,14301.0,9875.0,10614.0,738.9,3687.0,79854.0
60.0,814.0,263.0,40.0,10.0,39.8,24.12,803.0,754.0,507.0,-246.5,296.0,1184.0
1205.0,4581.0,1815.0,490.00000000000006,700.0,652.2,184.01,4390.0,3376.0,3576.0,200.0,815.0,19411.0
1727.0,9104.0,3796.0,1670.0,1970.0,1570.6,472.9,9417.0,7377.0,8456.0,1078.9,961.0,24483.0
110.0,928.0,257.0,90.0,270.0,97.3,51.26,943.0,818.0,785.0,-32.9,158.0,3319.0
2545.0,11089.0,3666.0,1330.0,5320.0,1745.6,830.24,10811.0,8544.0,8766.0,222.0,2045.0,71886.0
3938.0,8953.0,1698.0,560.0,2170.0,986.0,269.79,6131.0,5015.0,5362.0,346.8,770.0,29789.0
40.0,1794.0,881.0,280.0,340.0,521.4,173.9,2350.0,1754.0,1904.0,150.3,446.0,6698.0
316.0,3572.0,1223.0,440.00000000000006,290.0,96.6,184.27,3573.0,3256.0,2516.0,-740.7,1057.0,8097.0
1722.0,10265.0,3995.0,1050.0,5270.0,1456.8,495.87,10406.0,8543.0,8481.0,-62.3,1925.0,38762.0
1563.0,6987.0,2691.0,920.0,3379.9999999999995,1302.7,478.83,6922.0,5424.0,5826.0,402.8,1096.0,47841.0
1748.0,10402.0,4416.0,1160.0,3520.0000000000005,1633.4,496.47,10582.0,8654.0,9131.0,477.4,1451.0,17177.0
5012.0,21571.0,8361.0,2060.0,10930.0,4150.8,1462.28,21377.0,16559.0,17168.0,609.1,4208.0,157818.0
75.0,767.0,307.0,60.0,30.0,104.7,40.62,811.0,692.0,619.0,-72.9,192.0,1627.0
99.0,783.0,288.0,50.0,70.0,51.9,26.1,779.0,684.0,580.0,-103.5,198.0,1995.0
62.0,689.0,292.0,30.0,10.0,70.7,31.54,715.0,627.0,565.0,-62.3,150.0,937.0
174.0,955.0,364.0,80.0,20.0,231.0,30.06,1040.0,781.0,845.0,64.1,195.0,1814.0
1504.0,5395.0,2188.0,930.0,1130.0,1395.9,407.24,5563.0,3891.0,4698.0,807.1,865.0,27118.0
1816.0,7001.0,1767.0,1490.0,2650.0,1364.6,511.4,7004.0,5185.0,5635.0,450.2,1369.0,38615.0
2829.0,10459.0,3912.0,1230.0,2730.0,2574.3,662.39,10907.0,7630.0,8332.0,701.9,2576.0,47313.0
45.0,986.0,151.0,30.0,20.0,40.1,12.89,993.0,941.0,881.0,-60.0,111.0,520.0
2331.0,12930.0,5145.0,1290.0,7150.0,1255.9,638.48,12532.0,10599.0,10911.0,311.3,1621.0,78205.0
104.0,1041.0,429.0,90.0,50.0,33.9,53.58,990.0,937.0,787.0,-150.7,203.0,2296.0
6386.0,21601.0,6466.0,3329.9999999999995,5470.0,4380.6,1540.61,20787.0,15215.0,17556.0,2340.7,3231.0,106249.0
2939.0,10315.0,4097.0,1620.0,4130.0,2696.3,1144.19,10509.0,7376.0,8626.0,1250.2,1883.0,73865.0
2297.0,4594.0,1365.0,90.0,2110.0,555.9,215.67,2952.0,2297.0,1877.0,-419.4,1074.0,28390.0
4457.0,15650.0,6284.0,1840.0,4880.0,2811.5,904.56,16265.0,11193.0,14392.0,3199.1,1872.0,90147.0
82.0,891.0,317.0,50.0,10.0,70.1,23.71,891.0,809.0,602.0,-206.7,288.0,1212.0
379.0,4235.0,1708.0,560.0,770.0,73.8,194.9,4267.0,3856.0,3571.0,-284.5,695.0,21017.0
-5116.0,2922.0,4014.0,1420.0,2250.0,890.6,498.46,9407.0,8038.0,8254.0,216.0,1153.0,32541.0
134.0,944.0,292.0,100.0,300.0,104.0,58.41,946.0,810.0,789.0,-21.5,157.0,3965.0
2762.0,12430.0,4068.0,1610.0000000000002,6070.0,2358.3,909.56,12576.0,9668.0,10259.0,591.4,2317.0,85837.0
1523.0,7571.0,1628.0,720.0,2140.0,1099.4,293.08,7831.0,6048.0,6767.0,718.7,1064.0,35642.0
726.0,2718.0,994.0,310.0,410.0,572.0,181.42,2633.0,1992.0,2147.0,154.9,486.0,7755.0
238.0,3928.0,1393.0,490.00000000000006,290.0,166.2,196.73,4021.0,3690.0,2899.0,-791.6,1123.0,9124.0
2404.0,12026.0,4526.0,1210.0,5770.0,1944.0,580.79,11981.0,9622.0,10201.0,578.9,1779.0,44460.0
1818.0,7963.0,3215.0,1100.0,3900.0,1542.5,523.18,7943.0,6145.0,6788.0,643.0,1154.0,55049.0
3453.0,13467.0,5267.0,1380.0,4100.0,1926.3,527.31,13093.0,10014.0,11462.0,1447.8,1631.0,19404.0
5596.0,24851.0,9195.0,2450.0,11720.0,4953.7,1607.41,25005.0,19255.0,20846.0,1590.6,4159.0,179311.0
288.0,1096.0,384.0,70.0,10.0,167.5,41.85,1014.0,808.0,708.0,-100.0,306.0,1898.0
126.0,857.0,314.0,60.0,80.0,23.1,28.19,785.0,731.0,617.0,-113.5,168.0,2198.0
78.0,746.0,343.0,50.0,10.0,125.3,33.54,810.0,668.0,621.0,-46.9,189.0,1072.0
143.0,1017.0,353.0,100.0,30.0,184.2,32.25,1096.0,874.0,865.0,-8.8,231.0,2024.0
1890.0,6177.0,2467.0,1080.0,1340.0,1602.0,429.38,6310.0,4287.0,5117.0,830.5,1193.0,26504.0
2295.0,7864.0,1231.0,1630.0,2740.0,1464.7,510.09,7547.0,5569.0,6926.0,1357.1,622.0,44198.0
3182.0,10742.0,4324.0,1550.0,3120.0,2506.5,711.73,10964.0,7560.0,8426.0,866.0,2539.0,57516.0
58.0,1216.0,166.0,30.0,20.0,55.9,14.09,1241.0,1158.0,1119.0,-38.7,122.0,592.0
3428.0,15389.0,6210.0,1480.0,7980.0,2445.0,685.61,15402.0,11961.0,13065.0,1103.6,2337.0,89237.0
127.0,1156.0,517.0,110.0,60.0,121.7,46.25,1179.0,1029.0,907.0,-121.8,272.0,2757.0
7017.0,23046.0,7693.0,4060.0,6310.0,5956.2,1677.76,23017.0,16029.0,19208.0,3179.1,3809.0,127778.0
4922.0,13149.0,4991.0,1940.0,4260.0,3396.9,1241.53,13032.0,8227.0,10362.0,2135.2,2670.0,82075.0
2796.0,5592.0,1714.0,190.0,2530.0,690.0,255.69,3515.0,2796.0,2032.0,-764.2,1484.0,33803.0
4863.0,18704.0,6759.0,2150.0,7109.999999999999,2427.8,998.75,17745.0,13841.0,14544.0,703.2,3201.0,95782.0
79.0,916.0,334.0,60.0,10.0,121.0,28.37,972.0,837.0,665.0,-172.3,307.0,1337.0
660.0,4986.0,1892.0,640.0,880.0000000000001,142.1,201.92,5022.0,4326.0,4039.0,-287.1,984.0,22806.0
2521.0,11214.0,4375.0,1540.0,2390.0,981.4,528.07,10216.0,8693.0,8957.0,263.9,1259.0,33662.0
166.0,1274.0,350.0,120.0,370.0,124.6,66.42,1270.0,1108.0,1122.0,14.1,148.0,4921.0
3838.0,14963.0,4953.0,1880.0,6590.000000000001,3174.5,1003.28,14875.0,11125.0,12143.0,1017.8,2732.0,91188.0
1882.0,7780.0,1829.0,819.9999999999999,2370.0,1127.6,299.11,7806.0,5898.0,6617.0,719.4,1188.0,38649.0
1147.0,3317.0,1242.0,370.0,480.0,1202.2,194.82,3453.0,2170.0,2699.0,528.7,754.0,8837.0
112.0,4400.0,1623.0,590.0,370.0,443.6,221.02,4893.0,4288.0,3480.0,-808.0,1414.0,10286.0
2577.0,13190.0,4886.0,1390.0,6409.999999999999,1609.8,605.55,12601.0,10613.0,10890.0,276.8,1710.0,49484.0
2414.0,9532.0,4239.0,1290.0,4500.0,2413.9,585.03,9818.0,7118.0,8241.0,1122.9,1577.0,60062.0
3120.0,14377.0,5622.0,1660.0000000000002,4560.0,1820.6,549.09,14225.0,11257.0,11726.0,469.3,2498.0,21658.0
7602.0,27919.0,10609.0,2900.0,13719.999999999998,6442.2,1620.13,27675.0,20317.0,22897.0,2579.9,4779.0,195168.0
161.0,1024.0,416.0,80.0,40.0,187.5,45.29,1133.0,863.0,798.0,-65.3,335.0,2158.0
163.0,860.0,338.0,60.0,70.0,126.5,32.18,851.0,697.0,685.0,-11.6,166.0,2497.0
186.0,908.0,320.0,70.0,10.0,124.2,39.51,870.0,722.0,662.0,-59.9,208.0,1123.0
136.0,1129.0,370.0,110.0,30.0,203.9,35.77,1230.0,993.0,1004.0,10.9,226.0,2324.0
2497.0,7129.0,2636.0,1290.0,1420.0,1802.5,429.75,6854.0,4632.0,5537.0,904.5,1318.0,32235.0
2946.0,9297.0,2242.0,1850.0,3040.0,2477.6,557.94,9472.0,6351.0,7835.0,1483.9,1636.0,48704.0
4690.0,13094.0,4697.0,1900.0,3610.0,2552.0,771.66,12685.0,8404.0,8986.0,581.8,3699.0,64061.0
77.0,1377.0,188.0,40.0,30.0,66.9,17.05,1394.0,1300.0,1258.0,-41.4,136.0,680.0
3885.0,17472.0,6654.0,1760.0000000000002,8690.0,2121.7,738.87,17333.0,13587.0,14951.0,1363.9,2383.0,103550.0
183.0,1265.0,594.0,120.0,70.0,195.8,45.42,1350.0,1082.0,1060.0,-21.7,290.0,3298.0
8357.0,25928.0,9080.0,4690.0,7000.0,7576.0,1797.41,26626.0,17571.0,22195.0,4623.9,4431.0,137561.0
4641.0,13669.0,5180.0,2410.0,4520.0,4007.7,1364.22,13557.0,9028.0,11322.0,2294.1,2235.0,97966.0
3481.0,6962.0,2043.0,310.0,2940.0,726.4,253.39,4211.0,3481.0,2322.0,-1158.7,1889.0,41235.0
6814.0,21074.0,8927.0,2640.0,7959.999999999999,5705.6,1100.54,21958.0,14260.0,16944.0,2684.1,5014.0,114937.0
106.0,1030.0,332.0,70.0,10.0,55.4,59.26,1004.0,924.0,747.0,-177.1,257.0,1515.0
761.0,5268.0,2151.0,520.0,980.0,338.2,228.0,5204.0,4507.0,4416.0,-90.2,788.0,25558.0
6772.0,16044.0,5354.0,1870.0,2670.0,2378.9,557.82,12171.0,9272.0,10623.0,1350.5,1549.0,39033.0
366.0,1513.0,415.0,140.0,360.0,269.1,71.5,1458.0,1147.0,1288.0,140.8,170.0,6075.0
6212.0,18955.0,6609.0,2260.0,7620.0,5619.0,1098.62,19172.0,12743.0,15606.0,2863.4,3566.0,105305.0
3030.0,8509.0,2474.0,1000.0,3120.0,2240.4,334.95,8581.0,5479.0,7019.0,1540.2,1562.0,43646.0
768.0,3080.0,1553.0,500.0,570.0,1661.5,219.0,4167.0,2312.0,3334.0,1022.3,833.0,10696.0
1261.0,5770.0,1496.0,670.0,440.00000000000006,1054.4,250.77,5849.0,4509.0,4909.0,400.2,940.0,11415.0
3676.0,14906.0,5851.0,1620.0,6940.000000000001,3112.1,652.19,14886.0,11230.0,12446.0,1215.2,2440.0,56204.0
3047.0,10245.0,4660.0,1450.0,4650.0,3012.2,670.08,10611.0,7198.0,9228.0,2030.0,1383.0,69216.0
4244.0,15590.0,6887.0,1830.0,5110.0,4126.7,603.12,15968.0,11346.0,14218.0,2871.8,1751.0,24061.0
9335.0,31072.0,11407.0,3670.0000000000014,14200.0,7462.4,1866.74,30317.0,21737.0,25663.0,3925.9,4654.0,209699.0
159.0,1056.0,391.0,90.0,30.0,106.2,48.83,1116.0,897.0,789.0,-108.1,327.0,2430.0
248.0,1081.0,390.0,70.0,90.0,147.3,37.0,1008.0,833.0,815.0,-17.3,192.0,2939.0
92.0,827.0,379.0,70.0,10.0,132.3,41.47,893.0,735.0,691.0,-44.1,202.0,1246.0
395.0,1431.0,415.0,140.0,40.0,243.2,41.85,1491.0,1036.0,1049.0,13.4,441.0,2385.0
3570.0,8124.0,3246.0,1490.0,1490.0,2915.5,439.01,8642.0,4554.0,6819.0,2264.8,1823.0,35581.0
4431.0,10187.0,3054.0,2320.0,3260.0,3779.3,615.29,10963.0,5756.0,8384.0,2628.7,2578.0,55736.0
4638.0,13217.0,5953.0,2240.0,3940.0,5150.9,842.35,14314.0,8579.0,11576.0,2996.3,2739.0,73180.0
194.0,1635.0,254.0,50.0,30.0,146.9,20.18,1621.0,1441.0,1496.0,54.9,126.0,787.0
4591.0,18852.0,8153.0,2120.0,9630.0,4777.1,861.54,19880.0,14261.0,17697.0,3436.6,2182.0,118209.0
292.0,1560.0,673.0,140.0,80.0,118.4,47.1,1531.0,1268.0,1176.0,-92.7,355.0,3814.0
12655.0,30034.0,10477.0,5520.0,7909.999999999999,11632.5,1927.67,31462.0,17379.0,26075.0,8696.2,5388.0,153853.0
