State,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
Rajasthan,688.0,823.0,955.0,1099.0,1303.0,1508.0,1867.0,2539.0,2571.0,2698.0,3480.0,4080.0,4997.0,5898.0,6747.0,8332.0,8426.0,8986.0,11576.0,13430.0,15035.0,15949.0,17016.0,18848.0,19906.0,21499.0,24954.0,29128.0,34295.6,40132.2,44873.35,53653.31,63461.79,75509.59,100887.94,110804.85,
Sikkim,30.0,32.0,36.0,49.0,59.0,78.0,81.0,99.0,113.0,115.0,128.0,155.0,180.0,189.0,526.0,881.0,1119.0,1258.0,1496.0,1510.0,763.0,1664.0,1883.0,1181.0,1723.0,1768.0,1888.0,2349.0,2293.61,2738.05,2907.53,3230.140000000001,3012.35,3457.96,4895.440000000001,4258.51,
Tamil Nadu,1152.0,1360.0,1576.0,1911.0,2210.0,2450.0,2776.0,3375.0,3763.0,4731.0,5641.0,8680.0,8543.0,8758.0,9635.0,10911.0,13065.0,14951.0,17697.0,20728.0,21752.0,21557.0,25688.0,25271.0,29155.0,32009.0,38265.0,42975.0,53590.26,59375.35,72916.3,83838.04000000001,97067.44,109824.67,136725.38,147297.35,
Telangana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,79809.76,93600.21,
Tripura,87.0,91.0,109.0,140.0,146.0,190.0,232.0,294.0,381.0,420.0,497.0,548.0,550.0,643.0,706.0,787.0,907.0,1060.0,1176.0,1461.0,1734.0,1813.0,1961.0,2062.0,2183.0,2392.0,2483.0,2794.0,3129.45,4213.79,4359.34,4809.08,5212.88,5948.96,8303.07,9125.55,
Uttar Pradesh,1716.0,1906.0,2364.0,2761.0,3292.0,3702.0,4349.0,5080.0,6257.0,7654.0,9539.0,10399.0,12691.0,13280.0,15396.0,17556.0,19208.0,22195.0,26075.0,28748.0,31033.0,31780.0,32939.0,50221.0,44610.0,46617.0,55699.0,65223.0,75968.89,89373.6,107675.61000000002,123885.17,140723.63999999998,158146.87,191590.23,215756.18,
Uttarakhand,,,,,,,,,,,,,,,,,,,,,914.0,2833.0,3676.0,4362.0,5036.0,5611.0,6477.0,7255.0,8395.36,10657.48,11621.08,12975.33,13960.22,16216.41,24352.48,25739.33,
West Bengal,1115.0,1312.0,1622.0,1739.0,2151.0,2260.0,2698.0,3028.0,3475.0,3971.0,5128.0,5324.0,5664.0,6906.0,7631.0,8626.0,10362.0,11322.0,14243.0,19498.0,22104.0,23395.0,23161.0,25757.0,28146.0,31117.0,34161.0,38314.0,51613.33,58499.87,64538.19,73326.37,82110.88,91797.27,106827.98,113100.22,
All States,14808.0,17075.0,20238.0,23803.0,28349.0,32770.0,38057.0,45089.0,52228.0,60217.0,71776.0,86186.0,96205.0,108868.0,127009.0,143127.0,166919.0,184312.0,217249.0,257475.0,287825.0,309819.0,330853.0,372594.0,402670.0,438034.0,505699.0,580805.0,681985.22,799153.67,932296.55,1074570.88,1231701.95,1379750.22,1824161.81,1958173.78,
Delhi,,,,,,,,,,,,,,508.0,1431.0,1877.0,2032.0,2322.0,2840.0,3523.0,3697.0,5044.0,4598.0,5087.0,5827.0,6515.0,7755.0,9771.0,11762.55,13900.88,14381.73,17964.86,20659.36,22366.52,26037.78,30402.090000000004,
Puducherry,,,,,,,,,,,,,,,,,,,,,,,,,,1794.0,1927.0,2201.0,2570.47,3083.48,3540.17,3222.23,3051.19,4482.74,5055.219999999998,5598.33,
