State,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Nagaland,-26.3,20.1,29.5,41.0,-4.6,-12.0,30.0,60.0,48.0,141.0,101.9,95.7,138.2,174.2,238.8,231.0,184.2,203.9,243.2,249.0,358.8,366.1,440.00000000000006,-160.0,220.00000000000003,310.0,160.0,400.0,340.0,520.0,310.0,540.0,650.0,460.0,850.0,1160.0
Odisha,134.1,141.8,212.2,191.6,328.4,326.0,372.0,506.0,550.0,574.0,616.2,913.2,740.1,901.5,1158.9,1395.9,1602.0,1802.5,2915.5,3746.1,3325.3,3964.2,2820.0,3570.0000000000005,1370.0,280.0,-819.9999999999999,-1320.0,330.0,2270.0,660.0,-620.0,0.0,4630.0,9140.0,10400.0
Punjab,159.8,178.3,182.8,262.1,479.2,566.0,343.0,968.0,833.0,909.0,1242.2,1150.5,1252.0,1493.4,1785.2,1364.6,1464.7,2477.6,3779.3,3194.7,3903.8,4958.0,4400.0,4880.0,4040.0,2660.0,4380.0,4600.0,6690.000000000001,6170.0,7140.000000000001,8490.0,9350.0,8790.0,10400.0,11900.0
Rajasthan,206.7,326.5,274.9,297.5,362.7,343.0,467.0,903.0,736.0,581.0,544.8,792.4,1158.7,1470.0,1762.7,2574.3,2506.5,2552.0,5150.9,5361.2,4313.2,5748.4,6110.0,7370.0,6150.0,5150.0,3970.0000000000014,3410.0,6970.0,10300.0,4130.0,3630.0,8530.0,15190.0,23160.0,20610.0
Sikkim,5.6,4.8,-1.8,6.9,-2.8,12.0,1.0,9.0,11.0,30.0,20.2,41.1,34.1,30.7,45.7,40.1,55.9,66.9,146.9,92.6,50.5,66.8,10.0,50.0,190.0,150.0,100.0,60.0,230.0,170.0,320.0,180.0,70.0,50.0,450.0,520.0
Tamil Nadu,210.4,212.5,326.1,363.6,397.7,365.0,454.0,660.0,654.0,919.0,1126.3,1299.9,1749.1,1357.6,1496.4,1255.9,2445.0,2121.7,4777.1,5382.3,5076.0,4739.4,6740.000000000001,5590.0,5570.0,2250.0,3960.0,3690.0,8550.0,11810.0,16650.0,17270.0,16520.0,20580.0,27350.0,31830.0
Telangana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,17400.0,16970.0
Tripura,-9.1,24.8,17.1,34.9,12.4,15.0,15.0,62.0,84.0,89.0,85.6,93.9,23.0,111.0,110.0,33.9,121.7,195.8,118.4,290.3,445.2,538.2,540.0,340.0,240.0,110.0,-130.0,20.0,270.0,-70.0,250.0,-260.0,-340.0,-50.0,1320.0,1940.0
Uttar Pradesh,551.4,452.0,581.7,1082.3,1493.6,1058.0,1410.0,1014.0,1802.0,2482.0,3067.6,2836.6,3710.9,3165.8,4766.5,4380.6,5956.2,7576.0,11632.5,11098.7,10179.5,9898.1,9500.0,16650.0,13000.0,10080.0,9620.0,13790.0,20510.0,18690.0,17250.0,15430.000000000002,19240.0,23680.0,28380.0,31560.000000000004
Uttarakhand,,,,,,,,,,,,,,,,,,,,,136.4,424.2,890.0,1410.0,2170.0,1880.0,890.0,1739.9999999999998,1840.0,2780.0,1840.0,1760.0000000000002,1600.0,2650.0,3970.0000000000014,4100.0
West Bengal,289.2,380.1,497.8,413.9,339.7,259.0,587.0,551.0,579.0,1055.0,1633.7,1143.7,1012.5,1671.9,1965.3,2696.3,3396.9,4007.7,7109.1,11666.4,10920.2,11804.1,10570.0,12869.999999999998,10650.0,9600.0,11430.0,11400.0,13560.0,24950.0,19530.0,17700.0,19150.0,25350.0,23880.0,15980.000000000002
All States,3712.2,4062.7,4986.1,6358.799999999998,8199.699999999999,7520.0,9269.0,11220.5,11672.0,15434.0,18786.9,18900.1,20891.300000000007,20596.000000000004,27697.0,31425.80000000001,37251.4,44200.0,74253.8,91480.5,89532.5,95992.7,102130.0,123060.0,109270.0,90140.0,78340.0,77820.0,137780.0,192940.0,161450.0,171720.0,197990.0,252300.0,366360.0,334350.0
Delhi,,,,,,,,,,,,,,231.7,388.9,555.9,690.0,726.4,959.2,1381.6,1609.7,1733.0,2400.0,2440.0,1480.0,-250.0,410.0,2040.0,2820.0,3550.0,-730.0,2550.0,2280.0,3940.0,350.0,420.0
Puducherry,,,,,,,,,,,,,,,,,,,,,,,,,,280.0,400.0,330.0,370.0,580.0,710.0,819.9999999999999,220.00000000000003,540.0,550.0,610.0
